學年,學期,系所名稱,年級,課號,班別,課名,主要教師,選課人數,考試日期,考試時間,教室,備註
107,1,621 應外碩          ,1,FL530,A,日本文學與文化,吳翠華,12,2019/1/9,18:30 ~ 21:20,5710,
107,1,621 應外碩          ,1,FL568,A,網路教材設計與應用,中澤一亮,10,2019/1/10,09:10 ~ 12:00,5710,
107,1,621 應外碩          ,1,FL574,A1,日語文獻解讀,林淑璋,8,2019/1/10,18:30 ~ 21:20,5710,
107,1,621 應外碩          ,1,FL579,A,日本當代流行文化,李世暉,13,2019/1/12,09:10 ~ 12:00,5710,依照教師公告行事曆
107,1,622 中語碩,1,CC509,A,古典文學專題,王力堅,7,不考, ~ ,,
107,1,622 中語碩,1,CC544,A,現代小說研究專題,洪士惠,9,不考, ~ ,,
107,1,622 中語碩,1,CC546,A,論文寫作（一）,鍾怡雯,5,不考, ~ ,,報告
107,1,622 中語碩,1,CC555,A,王陽明及其後學思想專題,何威萱,6,不考, ~ ,,
107,1,622 中語碩,1,CC556,A,生態語言學專題,徐富美,7,不考, ~ ,,報告
107,1,623 藝設碩,1,AM565,A,設計史專題,黃琬雯,5,2019/1/7,14:10 ~ 17:00,2005,
107,1,623 藝設碩,1,AM556,A,藝術策展,阮慶岳,7,2019/1/8,14:10 ~ 17:00,2104,
107,1,623 藝設碩,1,AM531,A,藝術史方法論,龔詩文,5,2019/1/10,09:10 ~ 12:00,2010,
107,1,623 藝設碩,1,AM566,A,專業實習（一）,鄒淑慧,5,2019/1/11,09:10 ~ 12:00,8702,
107,1,623 藝設碩,2,AM653,A,歐美藝術史,鄒淑慧,6,2019/1/8,09:10 ~ 12:00,2605,
107,1,623 藝設碩,2,AM542,A,中國早期繪畫,龔詩文,5,2019/1/9,14:10 ~ 17:00,3212,希望排在R3212
107,1,623 藝設碩,2,AM537,A,專業實習（三）,阮慶岳,6,2019/1/11,09:10 ~ 12:00,8708,
107,1,624 社政碩,1,SC501,A,社會學理論,李玉瑛,12,不考, ~ ,,不考
107,1,624 社政碩,1,SC518,A,東亞社會研究（海外研習）,謝登旺,8,不考, ~ ,,不考
107,1,624 社政碩,1,SC522,B,論文寫作與指導,李玉瑛,12,不考, ~ ,,不考
107,1,624 社政碩,1,SC556,C,科技與社會專題,王佳煌,6,2019/1/7,18:30 ~ 21:20,5509,
107,1,624 社政碩,1,SC538,C,政策科學專題,劉宜君,12,2019/1/8,18:30 ~ 21:20,5509,
107,1,624 社政碩,1,SC543,A,危機管理,陳勁甫,10,2019/1/9,14:10 ~ 17:00,5732,
107,1,624 社政碩,1,SC505,B,非營利組織的經營與管理,謝登旺,40,2019/1/9,18:30 ~ 21:20,5606,
107,1,624 社政碩,1,SC544,C,文化創意產業專題,丘昌泰,8,2019/1/9,18:30 ~ 21:20,5509,
107,1,624 社政碩,1,SC550,A,社會統計專題,李俊豪,5,2019/1/9,18:30 ~ 21:20,5732,
107,1,624 社政碩,1,SC552,B,傳播與社會,彭芸,16,2019/1/10,18:30 ~ 21:20,5732,
107,1,624 社政碩,1,SC557,B,公共管理專題,丘昌泰,7,2019/1/10,18:30 ~ 21:20,5501,
107,1,624 社政碩,1,SC523,B,社會學專題,黃秋龍,6,2019/1/11,18:30 ~ 21:20,5606,
107,1,624 社政碩,2,SC522,A,論文寫作與指導,劉宜君,7,2019/1/10,13:10 ~ 16:00,5732,上課
107,1,656 文產博,1,IP001,A,文化產業理論與政策專題研究,丘昌泰,6,2019/1/10,09:10 ~ 12:00,5501,上課
107,1,656 文產博,1,IP013,A,藝術與設計實作研究,蘇孟鴻,3,2019/1/10,14:10 ~ 17:00,3209,上課
107,1,656 文產博,2,IP018,A,獨立研究（二）,丘昌泰,7,不考, ~ ,,不考
107,1,656 文產博,2,IP007,A,論文寫作與指導,謝登旺,4,2019/1/7,09:10 ~ 12:00,5501,上課
107,1,656 文產博,2,IP021,A,文化資產保護政策專題研究,龔詩文,2,2019/1/10,14:10 ~ 17:00,5501,上課
107,1,656 文產博,2,IP019,A,台灣文化產業發展專題研究,徐富美,2,2019/1/11,13:10 ~ 16:00,5501,上課
107,1,700 資訊院          ,1,CI101,A,設計思維,李佳穎,32,不考, ~ ,,
107,1,700 資訊院          ,1,CI102,A,資訊志工訓練-基礎程式設計,張經略,19,不考, ~ ,,
107,1,701 資管系          ,1,IM122,A,經濟學,葉佳炫,129,2019/1/7,10:10 ~ 12:00,1501A、1202、3103,隔排坐3間教室
107,1,701 資管系          ,1,IM119,A,程式設計（一）,林志麟,55,2019/1/7,14:10 ~ 16:00,1611,上機考2小時
107,1,701 資管系          ,1,IM119,B,程式設計（一）,郭文嘉,89,2019/1/8,13:10 ~ 16:00,1611,上機考
107,1,701 資管系          ,1,IM112,B,計算機概論,謝瑞建,64,2019/1/8,16:10 ~ 18:00,1501A、1501B、1401A,"IM112AB班合考,總共129人,3間教室"
107,1,701 資管系          ,1,IM112,A,計算機概論,謝瑞建,64,2019/1/8,16:10 ~ 18:00,1501A、1501B、1401A,"IM112AB班合考,總共129人,3間教室"
107,1,701 資管系          ,1,IM127,A,微積分（含演習）（一）,葉佳炫,123,2019/1/9,10:10 ~ 12:00,70103、70112,隔排坐2間教室
107,1,701 資管系          ,2,IM234,C,資訊管理會計,袁鳳清,28,不考, ~ ,,不考
107,1,701 資管系          ,2,IM236,C,數據分析導論,盧以詮,67,不考, ~ ,,期末報名電子上傳
107,1,701 資管系          ,2,IM238,C,社群行銷實務,吳思佩,26,不考, ~ ,,不考
107,1,701 資管系          ,2,IM106,A,管理學,王秉鈞,64,2019/1/7,10:10 ~ 14:00,1102,不考試要報告
107,1,701 資管系          ,2,IM106,B,管理學,林耀欽,66,2019/1/7,10:10 ~ 12:00,1501B,隔排坐
107,1,701 資管系          ,2,IM214,B,資料結構,楊錦生,55,2019/1/8,09:10 ~ 12:00,1109、1111,"隔排坐,2間教室"
107,1,701 資管系          ,2,IM214,A,資料結構,劉俞志,43,2019/1/8,10:10 ~ 12:00,1501A,隔排坐
107,1,701 資管系          ,2,IM226,C,網際網路程式設計,郭文嘉,70,2019/1/9,14:10 ~ 17:00,1611,上機考
107,1,701 資管系          ,2,IM216,A,離散數學,龐金宗,134,2019/1/10,10:10 ~ 12:00,1102、1501B、3104,隔排坐3間教室
107,1,701 資管系          ,2,IM231,A,統計學（一）,葉佳炫,138,2019/1/11,09:10 ~ 11:00,70103、70108、70109,隔排坐3間教室
107,1,701 資管系          ,3,IM303,B,系統分析與設計,陸承志,64,2019/1/7,14:10 ~ 17:00,60105,不考試要報告
107,1,701 資管系          ,3,IM303,A,系統分析與設計,袁鳳清,47,2019/1/7,15:10 ~ 17:00,1501B,隔排坐
107,1,701 資管系          ,3,IM337,C,資訊人員溝通,李婷,36,2019/1/8,09:10 ~ 12:00,1503,"不考試,要上課"
107,1,701 資管系          ,3,IM316,B,管理科學,陳志成,59,2019/1/9,09:10 ~ 12:00,1501A,隔排坐
107,1,701 資管系          ,3,IM313,A,財務管理,盧以詮,63,2019/1/9,14:10 ~ 17:00,1501A、1501B、1109,"IM313AB班合考,總共119人,3間教室"
107,1,701 資管系          ,3,IM313,B,財務管理,盧以詮,56,2019/1/9,14:10 ~ 17:00,1501A、1501B、1109,"IM313AB班合考,總共119人,3間教室"
107,1,701 資管系          ,3,IM345,C,Python程式設計,陸承志,62,2019/1/10,10:10 ~ 12:00,1611,上機考
107,1,701 資管系          ,3,IM316,A,管理科學,陳志成,64,2019/1/10,14:10 ~ 17:00,1111、1202,"隔排坐,2間教室"
107,1,701 資管系          ,3,IM332,B,服務與科技管理,曾淑芬,54,2019/1/10,18:10 ~ 20:00,1501A、1211、1213,"IM332AB班合考,總共124人,3間教室"
107,1,701 資管系          ,3,IM332,A,服務與科技管理,曾淑芬,70,2019/1/10,18:10 ~ 20:00,1501A、1211、1213,"IM332AB班合考,總共124人,3間教室"
107,1,701 資管系          ,3,IM321,C,資料庫管理實務,楊錦生,59,2019/1/11,09:10 ~ 12:00,1501A,不考試要上課
107,1,701 資管系          ,3,IM346,C,物聯網入侵偵測理論與實務,林志麟,43,2019/1/11,15:10 ~ 18:00,1611,不考試要上課
107,1,701 資管系          ,4,IM330,D,專業實習／專題製作（二）,系主任等,35,不考, ~ ,,不考
107,1,701 資管系          ,4,IM330,A,專業實習／專題製作（二）,系主任等,30,不考, ~ ,,不考
107,1,701 資管系          ,4,IM330,B,專業實習／專題製作（二）,系主任等,27,不考, ~ ,,不考
107,1,701 資管系          ,4,IM330,C,專業實習／專題製作（二）,系主任等,25,不考, ~ ,,不考
107,1,701 資管系          ,4,IM427,C,專業實習（一）,系主任等,56,不考, ~ ,,不考
107,1,701 資管系          ,4,IM428,C,專業實習（二）,系主任等,57,不考, ~ ,,不考
107,1,701 資管系          ,4,IM429,C,專題製作（一）,系主任等,58,不考, ~ ,,不考
107,1,701 資管系          ,4,IM430,C,專題製作（二）,系主任等,60,不考, ~ ,,不考
107,1,701 資管系          ,4,IM402,A,決策支援系統,詹前隆,69,2019/1/8,09:10 ~ 12:00,1501B,不考試要報告
107,1,701 資管系          ,4,IM218,A,行銷管理,王秉鈞,59,2019/1/8,13:10 ~ 16:00,1501B,不考試要報告
107,1,701 資管系          ,4,IM218,B,行銷管理,李婷,58,2019/1/10,09:10 ~ 12:00,1501A,不考試要上課
107,1,701 資管系          ,4,IM402,B,決策支援系統,張國忠,44,2019/1/10,15:10 ~ 18:00,1501B,隔排坐
107,1,702 資傳系          ,1,IC145,A,藝術基礎（一）：素描,陳麗秋,75,不考, ~ ,,繳交期末作業
107,1,702 資傳系          ,1,IC212,A,程式設計,趙伯堯,70,2019/1/7,13:10 ~ 16:00,5409,在原教室原時間區段考試
107,1,702 資傳系          ,1,IC286,A,程式設計實習（一）,張家榮,32,2019/1/7,14:10 ~ 16:00,60310,在原教室原時間區段上機考試
107,1,702 資傳系          ,1,IC286,B,程式設計實習（一）,張家榮,34,2019/1/7,16:10 ~ 18:00,60310,在原教室原時間區段上機考試
107,1,702 資傳系          ,1,IC181,A,資訊概論,林珮瑜,67,2019/1/9,09:10 ~ 12:00,70206,IC181A、B兩班合考、隔排坐，請排同時段2間140人以上大教室。
107,1,702 資傳系          ,1,IC181,B,資訊概論,林珮瑜,61,2019/1/9,09:10 ~ 12:00,70105,IC181A、B兩班合考、隔排坐，請排同時段2間140人以上大教室。
107,1,702 資傳系          ,1,IC116,A,攝影學,張世明,61,2019/1/9,15:10 ~ 18:00,3302,在原教室原時間區段成果發表
107,1,702 資傳系          ,1,IC151,B,設計概論,陳崇文,58,2019/1/9,18:30 ~ 21:20,70105,IC151A、B兩班合考、隔排坐，請排同時段2間120人以上大教室。
107,1,702 資傳系          ,1,IC151,A,設計概論,陳崇文,56,2019/1/9,18:30 ~ 21:20,70101,IC151A、B兩班合考、隔排坐，請排同時段2間120人以上大教室。
107,1,702 資傳系          ,1,IC175,A,設計史,陳麗秋,76,2019/1/10,10:10 ~ 11:00,2008、2009,
107,1,702 資傳系          ,1,IC362,A,智慧財產權,葉志良,94,2019/1/10,13:10 ~ 15:00,70206,在原教室考試
107,1,702 資傳系          ,1,IC184,A,程式設計（一）,方文聘,54,2019/1/10,16:10 ~ 19:00,5409,上機考試
107,1,702 資傳系          ,1,IC287,A1,微積分概論,盧公瑜,97,2019/1/11,13:10 ~ 16:00,70206,在原教室原時間區段考試
107,1,702 資傳系          ,1,IC336,A,程式設計實習,簡子超,37,2019/1/11,14:10 ~ 16:00,60310,在原教室原時間區段上機考試
107,1,702 資傳系          ,1,IC336,B,程式設計實習,簡子超,33,2019/1/11,16:10 ~ 18:00,60310,在原教室原時間區段上機考試
107,1,702 資傳系          ,2,IC205,A,電腦繪圖,李佳穎,76,2019/1/7,09:10 ~ 12:00,5310,期末成果發表
107,1,702 資傳系          ,2,IC238,A,視窗應用程式設計,鄧進宏,76,2019/1/7,10:10 ~ 13:00,5409、60310,原班分2間電腦教室上機考試
107,1,702 資傳系          ,2,IC249,A,文創產業個案,王小惠,47,2019/1/7,13:10 ~ 16:00,5410,在原教室原時間區段期末報告
107,1,702 資傳系          ,2,IC225,B,互動腳本製作,張弘毅,64,2019/1/8,09:10 ~ 12:00,3304,在原教室原時間區段期末報告
107,1,702 資傳系          ,2,IC340,B,多媒體概論,黃怡錚,64,2019/1/8,17:10 ~ 20:00,70102,IC340A、B兩班合考、隔排坐，請排同時段2間140人以上大教室。
107,1,702 資傳系          ,2,IC340,A,多媒體概論,黃怡錚,68,2019/1/8,17:10 ~ 20:00,70101,IC340A、B兩班合考、隔排坐，請排同時段2間140人以上大教室。
107,1,702 資傳系          ,2,IC172,A,資料結構,趙伯堯,55,2019/1/9,09:10 ~ 12:00,60310,在原教室原時間區段考試
107,1,702 資傳系          ,2,IC204,A,平面設計,張晴雯,48,2019/1/9,09:10 ~ 12:00,5409,在原教室原時間區段期末報告
107,1,702 資傳系          ,2,IC328,A,電子商務,王小惠,41,2019/1/9,14:10 ~ 17:00,5410,在原教室原時間區段期末報告
107,1,702 資傳系          ,2,IC225,A,互動腳本製作,張弘毅,66,2019/1/10,09:10 ~ 12:00,3304,在原教室原時間區段期末報告
107,1,702 資傳系          ,2,IC275,A,Ｊａｖａ程式設計,方文聘,38,2019/1/10,13:10 ~ 16:00,5409,在原教室原時間區段考試
107,1,702 資傳系          ,2,IC339,A,敘事與故事,張世明,59,2019/1/11,09:10 ~ 12:00,3302,在原教室原時間區段成果發表
107,1,702 資傳系          ,3,IC296,A,創意媒體實務應用,秦庭祥,31,不考, ~ ,,繳交期末作業
107,1,702 資傳系          ,3,IC337,A,3D電腦動畫,陳崇文,27,2019/1/7,18:30 ~ 21:20,60310,在原教室原時間區段上課
107,1,702 資傳系          ,3,IC322,A,影視製作專題,張世明,31,2019/1/8,09:10 ~ 12:00,3302,在原教室原時間區段成果發表
107,1,702 資傳系          ,3,IC242,A,電玩企劃,張弘毅,56,2019/1/9,09:10 ~ 12:00,3304,在原教室原時間區段期末報告
107,1,702 資傳系          ,3,IC326,A,作品集設計與展現,李佳穎,66,2019/1/9,14:10 ~ 17:00,5409,在原教室原時間區段上課
107,1,702 資傳系          ,3,IC186,A,網頁程式設計,趙伯堯,60,2019/1/10,09:10 ~ 12:00,5409,在原教室原時間區段期末報告
107,1,702 資傳系          ,3,IC387,A,人工智慧概論,方文聘,18,2019/1/11,09:10 ~ 12:00,5409,在原教室原時間區段考試
107,1,702 資傳系          ,3,IC294,A,穿戴式科技設計 （一）,徐千捷,32,2019/1/12,08:00 ~ 17:00,銘傳大學,期末校外成果發表
107,1,702 資傳系          ,4,IC401,A,專業實習（一）,張弘毅,71,不考, ~ ,,
107,1,702 資傳系          ,4,IC401,B,專業實習（一）,李佳穎,56,不考, ~ ,,
107,1,702 資傳系          ,4,IC454,A,資訊傳播專題（一）,趙伯堯,37,不考, ~ ,,
107,1,702 資傳系          ,4,IC464,A,專題製作（一）,系主任等,76,2019/1/8,13:10 ~ 17:00,70103,上課
107,1,702 資傳系          ,4,IC464,B,專題製作（一）,系主任等,60,2019/1/8,13:10 ~ 17:00,70103,上課
107,1,702 資傳系          ,4,IC294,B,穿戴式科技設計 （一）,詹清智,31,2019/1/12,08:00 ~ 17:00,銘傳大學,期末校外成果發表
107,1,705 資訊英專,1,IN101,A,微積分（一）,黃哲志,43,2019/1/7,10:10 ~ 12:00,1401A,
107,1,705 資訊英專,1,IN102,A,資訊概論,林榮彬,43,2019/1/8,10:10 ~ 12:00,1202,
107,1,705 資訊英專,1,IN103,A,程式設計（一）,張經略,35,2019/1/8,15:10 ~ 17:00,1301B,教室已借
107,1,705 資訊英專,1,IN104,A,智慧財產權,葉志良,34,2019/1/10,10:10 ~ 12:00,1111,
107,1,705 資訊英專,2,IN205,A,管理學,林耀欽,3,2019/1/7,10:10 ~ 12:00,1501B,
107,1,705 資訊英專,2,IN201,A,線性代數,李是男,25,2019/1/7,15:10 ~ 17:00,3207,
107,1,705 資訊英專,2,IN202,A,資料結構,陳增益,20,2019/1/9,10:10 ~ 12:00,1102、1401A,與CS203B合班考試
107,1,705 資訊英專,2,IN203,A,資料通訊概論,黃依賢,17,2019/1/10,10:10 ~ 12:00,1202,
107,1,705 資訊英專,2,IN204,A,數位系統設計,陳聿廣,18,2019/1/10,14:10 ~ 16:00,1102、1501A,需兩間大型教室，與CS204A合班考試
107,1,721 資管碩          ,1,IM501,A,書報討論（一）,系主任等,21,不考, ~ ,,不考
107,1,721 資管碩          ,1,IM530,A,類神經網路及其應用,謝瑞建,33,不考, ~ ,,不考
107,1,721 資管碩          ,1,IM520,A,資訊管理專題,吳思佩,9,2019/1/8,13:10 ~ 16:00,1503,不考試要上課
107,1,721 資管碩          ,1,IM516,A,網際網路行銷學,林耀欽,23,2019/1/9,09:10 ~ 12:00,1503,不考試要報告
107,1,721 資管碩          ,1,IM701,A,資料科學導論,陸承志,17,2019/1/9,14:10 ~ 17:00,1503,不考試要報告
107,1,721 資管碩          ,1,IM520,M,資訊管理專題,張國忠,15,2019/1/9,18:30 ~ 21:20,校外營區,不考試要上課
107,1,721 資管碩          ,1,IM544,C,計量決策專題,劉翔,13,2019/1/10,18:30 ~ 21:20,1503,不考試要上課
107,1,721 資管碩          ,1,IM544,A,計量決策專題,陳志成,28,2019/1/11,13:10 ~ 16:00,1503,不考試要報告
107,1,721 資管碩          ,1,IM520,C,資訊管理專題,張國忠,14,2019/1/11,18:30 ~ 21:20,1608A,
107,1,721 資管碩          ,1,IM701,M,資料科學導論,禹良治,6,2019/1/11,18:30 ~ 21:20,校外營區,不考試要上課
107,1,721 資管碩          ,1,IM569,C,行銷管理,王秉鈞,25,2019/1/12,09:10 ~ 12:00,1503,不考試要報告
107,1,721 資管碩          ,1,IM702,C,數據分析,禹良治,39,2019/1/12,13:10 ~ 16:00,1608A,不考試要上課
107,1,721 資管碩          ,2,IM601,A,書報討論（三）,系主任等,25,不考, ~ ,,不考
107,1,721 資管碩          ,2,IM607,C,專題研究（一）,系主任等,9,不考, ~ ,,不考
107,1,721 資管碩          ,2,IM704,C,資料科學統整專題一,系主任等,7,不考, ~ ,,不考
107,1,722 資傳碩          ,1,GI525,A,書報討論（一）,林珮瑜,12,不考, ~ ,,
107,1,722 資傳碩          ,1,GI525,B,書報討論（一）,張世明,9,不考, ~ ,,
107,1,722 資傳碩          ,1,GI628,A,量化研究方法,曾淑芬,18,不考, ~ ,,
107,1,722 資傳碩          ,1,GI633,A,智慧財產權研究,葉志良,15,不考, ~ ,,繳交期末報告
107,1,722 資傳碩          ,1,GI638,A,混合實境,鄧進宏,6,2019/1/8,09:10 ~ 12:00,5408,在原教室原時間區段上課
107,1,722 資傳碩          ,1,GI622,A,電子商務,王小惠,6,2019/1/10,09:10 ~ 12:00,5415,在原教室原時間區段期末報告
107,1,722 資傳碩          ,1,GI632,A,互動式介面設計研究專題,李佳穎,10,2019/1/10,13:10 ~ 16:00,5415,在原教室原時間區段上課
107,1,722 資傳碩          ,1,GI578,A,電腦視覺與影像處理,王任瓚,7,2019/1/11,09:10 ~ 12:00,5415,在原教室原時間區段上課
107,1,724 資工碩          ,1,CS554,A,書報討論,范金鳳,69,不考, ~ ,,
107,1,724 資工碩          ,1,CS554,B,書報討論,黃依賢,40,不考, ~ ,,
107,1,724 資工碩          ,1,CS572,A,軟體工程,范金鳳,48,不考, ~ ,,
107,1,724 資工碩          ,1,CS681,A,資料庫系統專題,姚修慎,3,不考, ~ ,,
107,1,724 資工碩          ,1,CS695,A,分散式演算法專題,林基成,6,不考, ~ ,,
107,1,724 資工碩          ,1,CS567,A,影像處理,林啟芳,12,2019/1/7,14:10 ~ 16:00,1202,
107,1,724 資工碩          ,1,CS624,A,計算理論,張經略,66,2019/1/7,18:30 ~ 21:20,1401A、1401B,需教室兩間
107,1,724 資工碩          ,1,CS561,A,資料庫系統,姚修慎,6,2019/1/8,14:10 ~ 17:00,2602,
107,1,724 資工碩          ,1,CS658,A,超大型積體電路設計,曾王道,31,2019/1/8,18:30 ~ 20:20,60312,與CS378A合班考試
107,1,724 資工碩          ,1,CS569,A,計算機圖學,蔡侑庭,5,2019/1/9,10:10 ~ 12:00,1111,上課
107,1,724 資工碩          ,1,CS514,A,人機互動設計,周志岳,26,2019/1/9,14:10 ~ 17:00,1111,上課
107,1,724 資工碩          ,1,CS522,A,互動視訊遊戲設計,葉奕成,21,2019/1/9,18:30 ~ 21:20,1301B,上課
107,1,724 資工碩          ,1,CS685,A,圖論（一）,張經略,62,2019/1/10,09:10 ~ 12:00,1401A、1109,需教室兩間
107,1,724 資工碩          ,1,CS616,A,高等計算機結構,陳昱圻,10,2019/1/10,14:10 ~ 17:00,1401A,上課
107,1,724 資工碩          ,1,CS523,A,雲端運算與服務,陳彥安,22,2019/1/12,10:10 ~ 12:00,1401B,與CS337A合班考試
107,1,724 資工碩          ,1,CS650,A,積體電路設計自動化,陳聿廣,19,2019/1/12,14:10 ~ 16:00,1401A,
107,1,725 生醫碩,1,CB503,A,書報討論（一）,黃毅然,5,不考, ~ ,,
107,1,725 生醫碩,1,CB548,A,醫療資訊與醫療決策,丁賢偉,8,不考, ~ ,,
107,1,725 生醫碩,1,CB603,A,書報討論（三）,周志岳,5,不考, ~ ,,
107,1,725 生醫碩,1,CB633,A,智慧型系統應用專題,賴國華,8,不考, ~ ,,
107,1,725 生醫碩,1,CB641,A,機器學習應用專題,歐昱言,8,不考, ~ ,,
107,1,725 生醫碩,1,CB537,A,計算生物學,歐昱言,12,2019/1/8,10:10 ~ 11:00,1301B,
107,1,725 生醫碩,1,CB546,A,轉譯醫學及臨床試驗,鍾旭東,11,2019/1/8,14:10 ~ 16:00,2605,
107,1,751 資管博,1,IM901,A,高等資管專題研討（一）,系主任等,4,不考, ~ ,,不考
107,1,751 資管博,1,IM907,A,資訊管理研究,劉俞志,4,2019/1/7,13:10 ~ 16:00,1505B,不考試要上課
107,1,751 資管博,1,IM915,A,高等研究方法,林耀欽,3,2019/1/9,18:30 ~ 21:20,1505B,不考試要報告
107,1,751 資管博,2,IM903,A,高等資管專題研討（三）,系主任等,4,不考, ~ ,,不考
107,1,901 通識            ,1,CL142,E2,國文（一）,黃智信,51,不考, ~ ,,
107,1,901 通識            ,1,CL142,S,國文（一）,邱佩文,51,不考, ~ ,,"不考,交報告"
107,1,901 通識            ,1,CL142,C1,國文（一）,陳建男,54,不考, ~ ,,
107,1,901 通識            ,1,CL142,L1,國文（一）,陳逸根,55,不考, ~ ,,
107,1,901 通識            ,1,CL142,T,國文（一）,邱佩文,59,不考, ~ ,,"不考,交報告"
107,1,901 通識            ,1,CL142,M,國文（一）,陳逸根,50,不考, ~ ,,
107,1,901 通識            ,1,CL142,P1,國文（一）,陳建男,39,不考, ~ ,,
107,1,901 通識            ,1,CL142,P2,國文（一）,陳建男,37,不考, ~ ,,
107,1,901 通識            ,1,CL142,F2,國文（一）,邱佩文,30,不考, ~ ,,"不考, 交報告"
107,1,901 通識            ,1,CL142,Q,國文（一）,黃智信,60,不考, ~ ,,
107,1,901 通識            ,1,CL142,C2,國文（一）,陳建男,51,不考, ~ ,,
107,1,901 通識            ,1,CP101,A1,基礎程式設計-C++實習（一）,張揚政,48,不考, ~ ,,
107,1,901 通識            ,1,CP101,A2,基礎程式設計-C++實習（一）,張揚政,50,不考, ~ ,,
107,1,901 通識            ,1,GN212,A,數學漫談,吳金生,60,不考, ~ ,,
107,1,901 通識            ,1,GN213,B,物理學漫談,吳金生,66,不考, ~ ,,
107,1,901 通識            ,1,GN213,A,物理學漫談,吳金生,62,不考, ~ ,,
107,1,901 通識            ,1,GN221,A,人與環境關係導論,楊長苓,59,不考, ~ ,,
107,1,901 通識            ,1,GN236,A,天文學漫談,吳金生,62,不考, ~ ,,
107,1,901 通識            ,1,GN236,B,天文學漫談,吳金生,63,不考, ~ ,,
107,1,901 通識            ,1,GN245,A,科技與生活,吳紹懋,57,不考, ~ ,,
107,1,901 通識            ,1,GN408,A,數位照相與列印色彩學,陳祖龍,59,不考, ~ ,,
107,1,901 通識            ,1,GS205,A,人物與中國歷史,林益德,63,不考, ~ ,,
107,1,901 通識            ,1,GS231,A,中國現代史,林益德,46,不考, ~ ,,
107,1,901 通識            ,1,GS341,A,法學緒論,徐昀,61,不考, ~ ,,
107,1,901 通識            ,1,GS349,A,心理學概論,麥麗蓉,66,不考, ~ ,,
107,1,901 通識            ,1,GS349,B,心理學概論,麥麗蓉,68,不考, ~ ,,
107,1,901 通識            ,1,GS375,A,社會關懷,麥麗蓉,39,不考, ~ ,,
107,1,901 通識            ,1,GS396,A,全球化都市與社會空間,鈕則謙,55,不考, ~ ,,
107,1,901 通識            ,1,GS410,A1,大學生活與服務學習,糠明珊,14,不考, ~ ,,
107,1,901 通識            ,1,GS416,A,生命故事與學思歷程,詹秀蓉,98,不考, ~ ,,
107,1,901 通識            ,1,GS418,A,自我經營與生涯發展,陳新霖,69,不考, ~ ,,
107,1,901 通識            ,1,GS427,A,性別與社會,糠明珊,64,不考, ~ ,,
107,1,901 通識            ,1,GS427,B,性別與社會,糠明珊,49,不考, ~ ,,
107,1,901 通識            ,1,GS435,A,教育與生活,王怡云,30,不考, ~ ,,
107,1,901 通識            ,1,GS437,A,影像‧文化‧女性經驗,麥麗蓉,66,不考, ~ ,,
107,1,901 通識            ,1,GS443,A,法律與生活,葉志良,42,不考, ~ ,,
107,1,901 通識            ,1,ID001,B,通識講座,麥麗蓉,49,不考, ~ ,,不考
107,1,901 通識            ,1,ID001,C,通識講座,王怡云,50,不考, ~ ,,不考
107,1,901 通識            ,1,ID001,A,通識講座,傅子耕,50,不考, ~ ,,不考
107,1,901 通識            ,1,ID003,A,古蹟文化與在地生活,黃智信,66,不考, ~ ,,
107,1,901 通識            ,1,ID004,A,島嶼、族群與文化,林煒舒,60,不考, ~ ,,
107,1,901 通識            ,1,ID005,A,在地文化導覽,林煒舒,11,不考, ~ ,,
107,1,901 通識            ,1,ID008,A,旅遊桃園史,陳錦昌,64,不考, ~ ,,
107,1,901 通識            ,1,LE204,A,易經哲學,范良光,68,不考, ~ ,,
107,1,901 通識            ,1,LE314,A,宗教與人生,范良光,65,不考, ~ ,,
107,1,901 通識            ,1,LE387,A,西洋藝術賞析,鄒淑慧,49,不考, ~ ,,
107,1,901 通識            ,1,LE406,B,繪本賞析,王怡云,67,不考, ~ ,,
107,1,901 通識            ,1,LE406,A,繪本賞析,王怡云,64,不考, ~ ,,
107,1,901 通識            ,1,LE432,A,文物與文學,黃智信,63,不考, ~ ,,
107,1,901 通識            ,1,LE438,A,生命記憶與文化,王怡云,60,不考, ~ ,,
107,1,901 通識            ,1,LE442,A,莎士比亞與文化研究,李曉菁,62,不考, ~ ,,
107,1,901 通識            ,1,LS201,A,生命科學概論,黃麗芬,69,不考, ~ ,,
107,1,901 通識            ,1,LS209,A,生物科技概論,陳郁君,69,不考, ~ ,,
107,1,901 通識            ,1,LS212,A,微生物的世界,薛逸煌,84,不考, ~ ,,
107,1,901 通識            ,1,LS217,A,認識藥物,熊正輝,70,不考, ~ ,,
107,1,901 通識            ,1,LS218,A,人體奧秘與醫療保健,熊正輝,68,不考, ~ ,,不考
107,1,901 通識            ,1,LS223,A,生命倫理學,簡志青,90,不考, ~ ,,
107,1,901 通識            ,1,LS228,B,飲食：人文與科學的對話,梁家祺,56,不考, ~ ,,
107,1,901 通識            ,1,LS232,A,生態與環境想像,李曉菁,61,不考, ~ ,,
107,1,901 通識            ,1,LS236,A,生死學概論,劉易齋,119,不考, ~ ,,
107,1,901 通識            ,1,GS211,A,社會心理學,鍾秋玉,65,2019/1/3,13:10 ~ 15:00,2425,提前一周考試
107,1,901 通識            ,1,GS426,A,性別教育,鍾秋玉,64,2019/1/3,15:10 ~ 17:00,2425,提前一周考試
